Context Size,Eval Time Line
2,"llama_print_timings:        eval time =    3071.56 ms /    24 runs   (  127.98 ms per token,     7.81 tokens per second)"
4,"llama_print_timings:        eval time =    2692.12 ms /    24 runs   (  112.17 ms per token,     8.91 tokens per second)"
8,"llama_print_timings:        eval time =    3422.37 ms /    24 runs   (  142.60 ms per token,     7.01 tokens per second)"
16,"llama_print_timings:        eval time =    3058.45 ms /    24 runs   (  127.44 ms per token,     7.85 tokens per second)"
32,"llama_print_timings:        eval time =    2479.53 ms /    24 runs   (  103.31 ms per token,     9.68 tokens per second)"
64,"llama_print_timings:        eval time =    6410.19 ms /    56 runs   (  114.47 ms per token,     8.74 tokens per second)"
128,"llama_print_timings:        eval time =   12278.69 ms /   120 runs   (  102.32 ms per token,     9.77 tokens per second)"
256,"llama_print_timings:        eval time =   24763.93 ms /   248 runs   (   99.85 ms per token,    10.01 tokens per second)"
512,"llama_print_timings:        eval time =   57228.97 ms /   504 runs   (  113.55 ms per token,     8.81 tokens per second)"
1024,"llama_print_timings:        eval time =  105272.63 ms /   913 runs   (  115.30 ms per token,     8.67 tokens per second)"
2048,"llama_print_timings:        eval time =   78634.04 ms /   771 runs   (  101.99 ms per token,     9.80 tokens per second)"
4096,"llama_print_timings:        eval time =  467835.72 ms /  4088 runs   (  114.44 ms per token,     8.74 tokens per second)"
8192,"llama_print_timings:        eval time =   67314.64 ms /   625 runs   (  107.70 ms per token,     9.28 tokens per second)"
