Context Size,Eval Time Line
2,"llama_print_timings:        eval time =    2617.28 ms /    24 runs   (  109.05 ms per token,     9.17 tokens per second)"
4,"llama_print_timings:        eval time =    2410.79 ms /    24 runs   (  100.45 ms per token,     9.96 tokens per second)"
8,"llama_print_timings:        eval time =    2430.53 ms /    24 runs   (  101.27 ms per token,     9.87 tokens per second)"
16,"llama_print_timings:        eval time =    2372.43 ms /    24 runs   (   98.85 ms per token,    10.12 tokens per second)"
32,"llama_print_timings:        eval time =    2419.08 ms /    24 runs   (  100.80 ms per token,     9.92 tokens per second)"
64,"llama_print_timings:        eval time =    5624.03 ms /    56 runs   (  100.43 ms per token,     9.96 tokens per second)"
128,"llama_print_timings:        eval time =   12278.86 ms /   120 runs   (  102.32 ms per token,     9.77 tokens per second)"
256,"llama_print_timings:        eval time =   24402.30 ms /   248 runs   (   98.40 ms per token,    10.16 tokens per second)"
512,"llama_print_timings:        eval time =   49584.37 ms /   504 runs   (   98.38 ms per token,    10.16 tokens per second)"
1024,"llama_print_timings:        eval time =  100667.32 ms /  1016 runs   (   99.08 ms per token,    10.09 tokens per second)"
2048,"llama_print_timings:        eval time =  205568.88 ms /  2040 runs   (  100.77 ms per token,     9.92 tokens per second)"
4096,"llama_print_timings:        eval time =   69154.41 ms /   688 runs   (  100.52 ms per token,     9.95 tokens per second)"
8192,"llama_print_timings:        eval time =   65409.55 ms /   630 runs   (  103.82 ms per token,     9.63 tokens per second)"
16384,"llama_print_timings:        eval time =  101775.14 ms /   850 runs   (  119.74 ms per token,     8.35 tokens per second)"
