Context Size,Eval Time Line
2,"llama_print_timings:        eval time =    2614.70 ms /    24 runs   (  108.95 ms per token,     9.18 tokens per second)"
4,"llama_print_timings:        eval time =    2560.34 ms /    24 runs   (  106.68 ms per token,     9.37 tokens per second)"
8,"llama_print_timings:        eval time =    3131.69 ms /    24 runs   (  130.49 ms per token,     7.66 tokens per second)"
16,"llama_print_timings:        eval time =    2769.42 ms /    24 runs   (  115.39 ms per token,     8.67 tokens per second)"
32,"llama_print_timings:        eval time =    2637.68 ms /    24 runs   (  109.90 ms per token,     9.10 tokens per second)"
64,"llama_print_timings:        eval time =    7490.70 ms /    56 runs   (  133.76 ms per token,     7.48 tokens per second)"
128,"llama_print_timings:        eval time =   15058.18 ms /   120 runs   (  125.48 ms per token,     7.97 tokens per second)"
256,"llama_print_timings:        eval time =   31652.94 ms /   248 runs   (  127.63 ms per token,     7.83 tokens per second)"
512,"llama_print_timings:        eval time =   58956.43 ms /   504 runs   (  116.98 ms per token,     8.55 tokens per second)"
1024,"llama_print_timings:        eval time =   90427.35 ms /   754 runs   (  119.93 ms per token,     8.34 tokens per second)"
2048,"llama_print_timings:        eval time =  270266.29 ms /  2040 runs   (  132.48 ms per token,     7.55 tokens per second)"
4096,"llama_print_timings:        eval time =  578668.31 ms /  4088 runs   (  141.55 ms per token,     7.06 tokens per second)"
8192,"llama_print_timings:        eval time = 1071868.66 ms /  8184 runs   (  130.97 ms per token,     7.64 tokens per second)"
16384,"llama_print_timings:        eval time =   60589.93 ms /   532 runs   (  113.89 ms per token,     8.78 tokens per second)"
32768,"llama_print_timings:        eval time = 6036406.05 ms / 32760 runs   (  184.26 ms per token,     5.43 tokens per second)"
65536,"llama_print_timings:        eval time = 3962378.61 ms / 24285 runs   (  163.16 ms per token,     6.13 tokens per second)"
